제목,부제목,훈련과정ID,훈련과정순차,훈련기관ID,훈련기관코드,지역코드,훈련시작일자,훈련종료일자,훈련시작_월,훈련종료_월,훈련기간_일,훈련기간_주,훈련기간_월,정원,수강신청인원,수강비,실제훈련비,만족도점수,NCS_코드,훈련대상,훈련구분,주소,전화번호,정원_대비_신청률,1차분류,2차분류,3차분류
KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,한국정보교육원(구.경원직업전문학교),AIG20230000455736,3,500020031803,200400659,11350,2024-01-02,2024-09-20,1,9,262,37.4,8.7,30,26,9097920,9097920,85.0,20010301,K-디지털 트레이닝,C0104, 관악구,02-855-9611,86.7,정보통신,정보기술,정보기술운영
"웹툰콘텐츠제작 Part1 (원화,캐릭터,배경,포토샵,클립스튜디오) B",에이치아카데미 D&D교육센터,AIG20230000443420,1,500020010894,200900755,11410,2024-01-02,2024-02-01,1,2,30,4.3,1.0,23,10,224640,224640,91.3,8030207,국민내일배움카드(일반),C0061, 서대문구,02-364-0008,43.5,,,
소방 설비(산업)기사/기사(기계분야)필기 취득대비,모아소방전기학원,AIG20230000448231,1,500020011194,201402404,11560,2024-01-02,2024-01-25,1,1,23,3.3,0.8,35,24,307680,408000,93.0,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2068-2851,68.6,,,
한식조리산업기사 실기과정,중화직업전문학원,AIG20230000440065,1,500042954638,202301476,11260,2024-01-02,2024-01-25,1,1,23,3.3,0.8,9,2,547200,547200,100.0,13010101,국민내일배움카드(일반),C0061, 중랑구,02-491-9992,22.2,,,
제과제빵기능사자격증(필기+실기),동아제과제빵기술학원,AIG20230000414283,1,500020050151,200903023,11560,2024-01-02,2024-02-28,1,2,57,8.1,1.9,15,11,891000,891000,93.9,21020102,국민내일배움카드(일반),C0061, 영등포구,02-2672-4438,73.3,,,
"컴퓨터기초(한글,엑셀,파워포인트)",대영컴퓨터학원,AIG20220000399545,11,500020061718,200601864,11380,2024-01-02,2024-01-29,1,1,27,3.9,0.9,20,5,480000,480000,95.8,2020302,국민내일배움카드(일반),C0061, 은평구,02-354-4501,25.0,정보통신,,
국내바리스타 2급 + 로스팅,한솔요리아카데미 강동,AIG20230000418430,1,500020030731,200601534,11740,2024-01-02,2024-01-18,1,1,16,2.3,0.5,16,7,300300,300300,94.9,13010203,국민내일배움카드(일반),C0061, 강동구,02-472-8400,43.8,,,
미용사(헤어)국가자격(실기),아임미용학원,AIG20230000438084,4,500037129694,202000480,11380,2024-01-02,2024-02-28,1,2,57,8.1,1.9,14,14,1035200,1035200,95.9,12010101,국민내일배움카드(일반),C0061, 은평구,02-357-0486,100.0,,,
전기(산업)기사 취득 필기특설반,서울공과전기학원,AIG20230000443088,1,500020020500,200803096,11560,2024-01-02,2024-02-27,1,2,56,8.0,1.9,45,33,1233000,1233000,94.6,19010703,국민내일배움카드(일반),C0061, 영등포구,02-2676-1114,73.3,,,
지게차운전기능사 자격취득(실기) 주중반,대우직업전문학교,AIG20230000433488,1,500020052382,200802057,11560,2024-01-02,2024-01-29,1,1,27,3.9,0.9,30,7,572800,572800,94.6,14070401,국민내일배움카드(일반),C0061, 영등포구,02-841-2670,23.3,,,
[컴활] 컴퓨터활용능력2급 자격증 실기(엑셀 활용),그린컴퓨터아트학원,AIG20220000373157,9,500020062235,200300611,11110,2024-01-02,2024-01-12,1,1,10,1.4,0.3,20,12,216000,216000,88.4,2020302,국민내일배움카드(일반),C0061, 종로구,02-722-2111,60.0,정보통신,,
제과제빵기능사 취득과정(이론+실기),중화직업전문학원,AIG20230000439460,1,500042954638,202301476,11260,2024-01-02,2024-03-04,1,3,62,8.9,2.1,18,2,1142400,1142400,93.2,21020102,국민내일배움카드(일반),C0061, 중랑구,02-491-9992,11.1,,,
"OA마스터(ITQ한글,엑셀,파워포인트)",미래컴퓨터아카데미,AIG20230000428943,1,500020037214,200802982,11305,2024-01-02,2024-02-19,1,2,48,6.9,1.6,20,6,594000,594000,93.3,2020302,국민내일배움카드(일반),C0061, 강북구,02-981-1186,30.0,정보통신,,
